Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod
2023-02-23,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online
2024-12-19,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card
2023-05-10,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online
2025-02-26,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card
2023-06-24,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online
2024-02-20,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.653,Credit Card
2023-01-11,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card
2023-01-09,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash
2024-10-16,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card
2025-03-05,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card
2024-04-10,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.9475,Debit Card
2024-07-12,East,Phone,19,207.35,Store D,Retail,0.1,Eva,3545.685,Gift Card
2023-07-21,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash
2025-01-18,West,Tablet,1,157.83,Store A,Wholesale,0.15,Carlos,134.1555,Debit Card
2024-12-08,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card
2025-05-11,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card
2023-02-26,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online
2024-05-28,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash
2023-11-30,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.68,Gift Card
2023-06-22,West,Desk,14,30.83,Store B,Retail,0,Carlos,431.62,Online
2025-06-05,West,Phone,10,319.05,Store D,Wholesale,0,Diana,3190.5,Online
2023-03-03,Central,Chair,14,312.79,Store A,Retail,0.05,Bob,4160.107,Online
2024-02-18,North,Laptop,14,395.45,Store C,Retail,0,Carlos,5536.3,Cash
2023-08-06,Central,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744,Credit Card
2024-05-23,North,Desk,5,288.01,Store A,Wholesale,0,Eva,1440.05,Credit Card
2023-10-23,East,Phone,13,562.29,Store D,Retail,0,Diana,7309.77,Gift Card
2025-06-16,West,Phone,1,101.73,Store D,Retail,0,Frank,101.73,Debit Card
2023-03-03,North,Phone,4,279.49,Store B,Retail,0,Diana,1117.96,Credit Card
2024-11-18,South,Laptop,1,178.55,Store A,Retail,0.15,Carlos,151.7675,Debit Card
2023-05-09,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online
2024-12-07,North,Tablet,12,306.29,Store D,Retail,0,Frank,3675.48,Debit Card
2024-02-13,North,Phone,7,434.77,Store C,Retail,0.15,Frank,2586.8815,Online
